"","workerid","kind","predicate1","predicate2","combined_predicate","quantifier","coordination","response","memory_fail","slider_fail","bad_expln","n_correct"
"1",0,"elephants","live in Africa","live in Asia","live in Africa and Asia","most","vp",0.57,FALSE,FALSE,FALSE,10
"2",0,"religious people","pray in churches","pray in synagogues","pray in churches and synagogues","generic","vp",0.51,FALSE,FALSE,FALSE,10
"3",0,"hurricanes","form in the Atlantic Ocean","form in the Pacific Ocean","form in the Atlantic Ocean and Pacific Ocean","all","vp",0.53,FALSE,FALSE,FALSE,10
"4",0,"tigers","are orange with black stripes","are white with brown stripes","are orange with black stripes and white with brown stripes","most","vp",0.41,FALSE,FALSE,FALSE,10
"5",0,"raisins","are purple","are golden","are purple and golden","all","vp",0.3,FALSE,FALSE,FALSE,10
"6",0,"cars","have gas engines","have electric engines","have gas engines and electric engines","all","vp",0.26,FALSE,FALSE,FALSE,10
"7",0,"professional athletes","compete in team sports","compete in individual sports","compete in team sports and individual sports","generic","vp",0.57,FALSE,FALSE,FALSE,10
"8",0,"grapes","are purple","are green","are purple and green","all","vp",0.65,FALSE,FALSE,FALSE,10
"9",0,"monkeys","live in the western hemisphere","live in the eastern hemisphere","live in the western hemisphere and eastern hemisphere","generic","vp",0.49,FALSE,FALSE,FALSE,10
"10",0,"Iowa farmers","grow corn","grow soy","grow corn and soy","all","vp",0.73,FALSE,FALSE,FALSE,10
"11",0,"theaters","show movies","show plays","show movies and plays","generic","vp",0.66,FALSE,FALSE,FALSE,10
"12",0,"cats","live as pets","live in the wild","live as pets and live in the wild","all","vp",0.36,FALSE,FALSE,FALSE,10
"13",0,"chocolate","is brown","is white","is brown and white","generic","vp",0.38,FALSE,FALSE,FALSE,10
"14",0,"dumplings","have meat fillings","have vegetable fillings","have meat fillings and vegetable fillings","most","vp",0.37,FALSE,FALSE,FALSE,10
"15",0,"bears","live in forests","live in tundras","live in forests and tundras","most","vp",0.46,FALSE,FALSE,FALSE,10
"16",0,"socks","are made of wool","are made of cotton","are made of wool and cotton","all","vp",0.13,FALSE,FALSE,FALSE,10
"17",0,"fishermen","fish in oceans","fish in lakes","fish in oceans and lakes","generic","vp",0.4,FALSE,FALSE,FALSE,10
"18",0,"clouds","are white","are gray","are white and gray","generic","vp",0.51,FALSE,FALSE,FALSE,10
"19",0,"birds","build nests in trees","build nests on the ground","build nests in trees and on the ground","generic","vp",0.67,FALSE,FALSE,FALSE,10
"20",0,"flowers","bloom in the spring","bloom in the summer","bloom in the spring and summer","most","vp",0.56,FALSE,FALSE,FALSE,10
"21",0,"tunnels","go through the sea","go through mountains","go through the sea and mountains","most","vp",0.48,FALSE,FALSE,FALSE,10
"22",0,"beans","are black","are brown","are black and brown","most","vp",0.52,FALSE,FALSE,FALSE,10
"23",0,"artists","create paintings","create sculptures","create paintings and sculptures","most","vp",0.21,FALSE,FALSE,FALSE,10
"24",0,"turtles","live in saltwater","live in freshwater","live in saltwater and freshwater","all","vp",0.5,FALSE,FALSE,FALSE,10
"25",0,"rice","is white","is brown","is white and brown","all","vp",0.4,FALSE,FALSE,FALSE,10
"26",0,"spiders that weave webs","are young","are old","are young and old","most","vp",0.34,FALSE,FALSE,FALSE,10
"27",0,"goldfish","live in fish tanks","live in fish bowls","live in fish tanks and fish bowls","generic","vp",0.34,FALSE,FALSE,FALSE,10
"28",0,"breads","are cooked in a dutch-oven","are cooked on a pan","are cooked in a dutch-oven and on a pan","all","vp",0.27,FALSE,FALSE,FALSE,10
"29",0,"bridges","go over rivers","go over valleys","go over rivers and valleys","generic","vp",0.5,FALSE,FALSE,FALSE,10
"30",0,"peacocks","have beautiful feathers","have drab feathers","have beautiful feathers and drab feathers","most","vp",0.22,FALSE,FALSE,FALSE,10
"31",1,"Iowa farmers","grow corn","grow soy","grow corn and soy","most","vp",0.66,FALSE,FALSE,FALSE,9
"32",1,"artists","create paintings","create sculptures","create paintings and sculptures","generic","vp",0.73,FALSE,FALSE,FALSE,9
"33",1,"elephants","live in Africa","live in Asia","live in Africa and Asia","most","vp",0.66,FALSE,FALSE,FALSE,9
"34",1,"beans","are black","are brown","are black and brown","most","vp",0.9,FALSE,FALSE,FALSE,9
"35",1,"raisins","are purple","are golden","are purple and golden","generic","vp",0.71,FALSE,FALSE,FALSE,9
"36",1,"flowers","bloom in the spring","bloom in the summer","bloom in the spring and summer","generic","vp",0.69,FALSE,FALSE,FALSE,9
"37",1,"spiders that weave webs","are young","are old","are young and old","most","vp",0.67,FALSE,FALSE,FALSE,9
"38",1,"hurricanes","form in the Atlantic Ocean","form in the Pacific Ocean","form in the Atlantic Ocean and Pacific Ocean","all","vp",0.54,FALSE,FALSE,FALSE,9
"39",1,"clouds","are white","are gray","are white and gray","generic","vp",0.35,FALSE,FALSE,FALSE,9
"40",1,"cats","live as pets","live in the wild","live as pets and live in the wild","most","vp",0.27,FALSE,FALSE,FALSE,9
"41",1,"religious people","pray in churches","pray in synagogues","pray in churches and synagogues","all","vp",0.46,FALSE,FALSE,FALSE,9
"42",1,"peacocks","have beautiful feathers","have drab feathers","have beautiful feathers and drab feathers","all","vp",0.37,FALSE,FALSE,FALSE,9
"43",1,"turtles","live in saltwater","live in freshwater","live in saltwater and freshwater","generic","vp",0.35,FALSE,FALSE,FALSE,9
"44",1,"bears","live in forests","live in tundras","live in forests and tundras","generic","vp",0.34,FALSE,FALSE,FALSE,9
"45",1,"cars","have gas engines","have electric engines","have gas engines and electric engines","most","vp",0.37,FALSE,FALSE,FALSE,9
"46",1,"tigers","are orange with black stripes","are white with brown stripes","are orange with black stripes and white with brown stripes","all","vp",0.28,FALSE,FALSE,FALSE,9
"47",1,"tunnels","go through the sea","go through mountains","go through the sea and mountains","all","vp",0.28,FALSE,FALSE,FALSE,9
"48",1,"rice","is white","is brown","is white and brown","all","vp",0.26,FALSE,FALSE,FALSE,9
"49",1,"socks","are made of wool","are made of cotton","are made of wool and cotton","most","vp",0.29,FALSE,FALSE,FALSE,9
"50",1,"chocolate","is brown","is white","is brown and white","all","vp",0.46,FALSE,FALSE,FALSE,9
"51",1,"professional athletes","compete in team sports","compete in individual sports","compete in team sports and individual sports","generic","vp",0.34,FALSE,FALSE,FALSE,9
"52",1,"monkeys","live in the western hemisphere","live in the eastern hemisphere","live in the western hemisphere and eastern hemisphere","all","vp",0.24,FALSE,FALSE,FALSE,9
"53",1,"breads","are cooked in a dutch-oven","are cooked on a pan","are cooked in a dutch-oven and on a pan","most","vp",0.31,FALSE,FALSE,FALSE,9
"54",1,"dumplings","have meat fillings","have vegetable fillings","have meat fillings and vegetable fillings","most","vp",0.25,FALSE,FALSE,FALSE,9
"55",1,"goldfish","live in fish tanks","live in fish bowls","live in fish tanks and fish bowls","generic","vp",0.26,FALSE,FALSE,FALSE,9
"56",1,"grapes","are purple","are green","are purple and green","generic","vp",0.54,FALSE,FALSE,FALSE,9
"57",1,"birds","build nests in trees","build nests on the ground","build nests in trees and on the ground","all","vp",0.28,FALSE,FALSE,FALSE,9
"58",1,"theaters","show movies","show plays","show movies and plays","all","vp",0.18,FALSE,FALSE,FALSE,9
"59",1,"bridges","go over rivers","go over valleys","go over rivers and valleys","most","vp",0.25,FALSE,FALSE,FALSE,9
"60",1,"fishermen","fish in oceans","fish in lakes","fish in oceans and lakes","generic","vp",0.84,FALSE,FALSE,FALSE,9
"61",2,"elephants","live in Africa","live in Asia","live in Africa and Asia","all","vp",0.45,FALSE,FALSE,FALSE,9
"62",2,"dumplings","have meat fillings","have vegetable fillings","have meat fillings and vegetable fillings","most","vp",0.39,FALSE,FALSE,FALSE,9
"63",2,"religious people","pray in churches","pray in synagogues","pray in churches and synagogues","most","vp",0.39,FALSE,FALSE,FALSE,9
"64",2,"peacocks","have beautiful feathers","have drab feathers","have beautiful feathers and drab feathers","all","vp",0.36,FALSE,FALSE,FALSE,9
"65",2,"chocolate","is brown","is white","is brown and white","generic","vp",0.38,FALSE,FALSE,FALSE,9
"66",2,"monkeys","live in the western hemisphere","live in the eastern hemisphere","live in the western hemisphere and eastern hemisphere","all","vp",0.23,FALSE,FALSE,FALSE,9
"67",2,"clouds","are white","are gray","are white and gray","all","vp",0.25,FALSE,FALSE,FALSE,9
"68",2,"cats","live as pets","live in the wild","live as pets and live in the wild","generic","vp",0.42,FALSE,FALSE,FALSE,9
"69",2,"spiders that weave webs","are young","are old","are young and old","most","vp",0.26,FALSE,FALSE,FALSE,9
