"","trial_type","condition","chapter_num","page_content","query_predicate1","query_predicate2","question_order","conjunct_order","response1","response2","rt","kind","predicate_1","predicate_2","chapter","quantifier","workerid","memory_fail","slider_fail","bad_expln","n_correct","bad_ratings"
"1","filler","uninterrupted",1,"Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon","are provided for by Zorxon","reverse","reverse",0.8,0.68,12393,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"2","filler","uninterrupted",2,"Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint","admire Wint","same","reverse",0.39,0.74,10751,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"3","critical","pp",3,"Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with bumpy skin and with smooth skin.","produce fruit with bumpy skin","produce fruit with smooth skin","same","same",0.77,0.85,9515,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"4","filler","uninterrupted",4,"Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans","live for a very long time","reverse","reverse",0.81,0.48,9705,"supools","live in the oceans","live for a very long time","Supools","all","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"5","filler","uninterrupted",5,"Zorf the mapmaker lives in Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town","live in the residential quarter","reverse","same",0.81,0.91,9533,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"6","filler","uninterrupted",6,"The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms never last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax","last a long time","same","reverse",0.39,0.86,9825,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"7","critical","np",7,"Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in fallen logs and the abandoned burrows of other animals.","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","same","same",0.9,0.73,10141,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"8","filler","uninterrupted",8,"Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert","are very hard to find","same","same",0.78,0.89,9310,"wopis","live in the desert","are very hard to find","Wopis","all","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"9","critical","vp",9,"Glippets are large creatures with a life-span of about sixty years. They live on the southern continent of Caro and live on the northern continent of Este.","live on the continent of Caro","live on the continent of Este","reverse","same",0.72,0.38,12173,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"10","filler","uninterrupted",10,"Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute","tolerate apaffs to some extent","same","reverse",0.9,0.62,8344,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"11","critical","s",11,"Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in droops and they build their nests in gluers.","build nests in gluers","build nests in droops","reverse","reverse",0.71,0.9,9473,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"12","filler","uninterrupted",12,"Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year","have purple petals","reverse","same",0.91,0.84,8806,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"13","critical","np",13,"The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and the Daith religion.","ascribe to the Caboo religion","ascribe to the Daith religion","reverse","same",0.83,0.94,8844,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
"14","filler","uninterrupted",14,"Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga","are attacked by other creatures","reverse","same",0.81,0.92,19280,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","645a6517e313390917505e79b3797f3b",FALSE,TRUE,TRUE,7,FALSE
