"","workerid","kind","predicate1","predicate2","combined_predicate","quantifier","coordination","response","memory_fail","slider_fail","bad_expln","n_correct"
"1",0,"theaters","show movies","show plays","show movies and plays","most","np",TRUE,FALSE,FALSE,FALSE,8
"2",0,"bridges","go over rivers","go over valleys","go over rivers and valleys","generic","np",TRUE,FALSE,FALSE,FALSE,8
"3",0,"birds","build nests in trees","build nests in cliffs","build nests in trees and cliffs","most","np",TRUE,FALSE,FALSE,FALSE,8
"4",0,"coffee","is grown in South America","is grown in Africa","is grown in South America and Africa","most","np",TRUE,FALSE,FALSE,FALSE,8
"5",0,"goldfish","live in fish tanks","live in fish bowls","live in fish tanks and fish bowls","generic","np",FALSE,FALSE,FALSE,FALSE,8
"6",0,"hurricanes","form in the Atlantic Ocean","form in the Pacific Ocean","form in the Atlantic Ocean and Pacific Ocean","most","np",TRUE,FALSE,FALSE,FALSE,8
"7",0,"religious people","pray in churches","pray in synagogues","pray in churches and synagogues","generic","np",TRUE,FALSE,FALSE,FALSE,8
"8",0,"fishermen","fish in oceans","fish in lakes","fish in oceans and lakes","generic","np",TRUE,FALSE,FALSE,FALSE,8
"9",0,"football players","play offense","play defense","play offense and defense","generic","np",FALSE,FALSE,FALSE,FALSE,8
"10",0,"breads","are cooked in dutch-ovens","are cooked in pans","are cooked in dutch-ovens and pans","generic","np",TRUE,FALSE,FALSE,FALSE,8
"11",0,"museums","contain scientific artifacts","contain works of art","contain scientific artifacts and works of art","generic","np",TRUE,FALSE,FALSE,FALSE,8
"12",0,"wine","is made from red grapes","is made from green grapes","is made from red grapes and green grapes","generic","np",TRUE,FALSE,FALSE,FALSE,8
"13",0,"pilots","fly planes","fly helicopters","fly planes and helicopters","generic","np",TRUE,FALSE,FALSE,FALSE,8
"14",0,"socks","are made of wool","are made of cotton","are made of wool and cotton","most","np",TRUE,FALSE,FALSE,FALSE,8
"15",0,"elephants","live in Africa","live in Asia","live in Africa and Asia","generic","np",TRUE,FALSE,FALSE,FALSE,8
"16",0,"police officers","wear uniforms","wear plainclothes","wear uniforms and plainclothes","most","np",TRUE,FALSE,FALSE,FALSE,8
"17",0,"artists","create paintings","create sculptures","create paintings and sculptures","most","np",TRUE,FALSE,FALSE,FALSE,8
"18",0,"Iowa farmers","grow corn","grow soy","grow corn and soy","most","np",TRUE,FALSE,FALSE,FALSE,8
"19",0,"flowers","bloom in the spring","bloom in the summer","bloom in the spring and summer","generic","np",TRUE,FALSE,FALSE,FALSE,8
"20",0,"grapes","have purple skin","have green skin","have purple skin and green skin","most","np",TRUE,FALSE,FALSE,FALSE,8
"21",0,"runners","compete in sprints","compete in marathons","compete in sprints and marathons","generic","np",TRUE,FALSE,FALSE,FALSE,8
"22",0,"cars","have gas engines","have electric engines","have gas engines and electric engines","most","np",TRUE,FALSE,FALSE,FALSE,8
"23",0,"ships","carry passengers","carry cargo","carry passengers and cargo","generic","np",TRUE,FALSE,FALSE,FALSE,8
"24",0,"professional actors","star in movies","star in plays","star in movies and plays","most","np",TRUE,FALSE,FALSE,FALSE,8
"25",0,"noodles","are made from wheat","are made from rice","are made from wheat and rice","most","np",FALSE,FALSE,FALSE,FALSE,8
"26",0,"gamblers","bet at casinos","bet at sporting events","bet at casinos and sporting events","most","np",TRUE,FALSE,FALSE,FALSE,8
"27",0,"bears","live in forests","live in tundras","live in forests and tundras","generic","np",TRUE,FALSE,FALSE,FALSE,8
"28",0,"monkeys","live in the western hemisphere","live in the eastern hemisphere","live in the western hemisphere and eastern hemisphere","generic","np",FALSE,FALSE,FALSE,FALSE,8
"29",0,"shopping bags","are made of paper","are made of plastic","are made of paper and plastic","most","np",TRUE,FALSE,FALSE,FALSE,8
"30",0,"professional athletes","compete in team sports","compete in individual sports","compete in team sports and individual sports","most","np",FALSE,FALSE,FALSE,FALSE,8
"31",1,"theaters","show movies","show plays","show movies and plays","generic","np",TRUE,FALSE,FALSE,FALSE,8
"32",1,"birds","build nests in trees","build nests in cliffs","build nests in trees and cliffs","generic","np",TRUE,FALSE,FALSE,FALSE,8
"33",1,"artists","create paintings","create sculptures","create paintings and sculptures","generic","np",TRUE,FALSE,FALSE,FALSE,8
"34",1,"pilots","fly planes","fly helicopters","fly planes and helicopters","generic","np",TRUE,FALSE,FALSE,FALSE,8
"35",1,"professional athletes","compete in team sports","compete in individual sports","compete in team sports and individual sports","most","np",TRUE,FALSE,FALSE,FALSE,8
"36",1,"monkeys","live in the western hemisphere","live in the eastern hemisphere","live in the western hemisphere and eastern hemisphere","most","np",TRUE,FALSE,FALSE,FALSE,8
"37",1,"runners","compete in sprints","compete in marathons","compete in sprints and marathons","most","np",TRUE,FALSE,FALSE,FALSE,8
"38",1,"elephants","live in Africa","live in Asia","live in Africa and Asia","most","np",TRUE,FALSE,FALSE,FALSE,8
"39",1,"coffee","is grown in South America","is grown in Africa","is grown in South America and Africa","generic","np",TRUE,FALSE,FALSE,FALSE,8
"40",1,"bears","live in forests","live in tundras","live in forests and tundras","generic","np",TRUE,FALSE,FALSE,FALSE,8
"41",1,"religious people","pray in churches","pray in synagogues","pray in churches and synagogues","generic","np",TRUE,FALSE,FALSE,FALSE,8
"42",1,"museums","contain scientific artifacts","contain works of art","contain scientific artifacts and works of art","generic","np",TRUE,FALSE,FALSE,FALSE,8
"43",1,"gamblers","bet at casinos","bet at sporting events","bet at casinos and sporting events","most","np",TRUE,FALSE,FALSE,FALSE,8
"44",1,"grapes","have purple skin","have green skin","have purple skin and green skin","most","np",TRUE,FALSE,FALSE,FALSE,8
"45",1,"breads","are cooked in dutch-ovens","are cooked in pans","are cooked in dutch-ovens and pans","most","np",TRUE,FALSE,FALSE,FALSE,8
"46",1,"flowers","bloom in the spring","bloom in the summer","bloom in the spring and summer","generic","np",TRUE,FALSE,FALSE,FALSE,8
"47",1,"professional actors","star in movies","star in plays","star in movies and plays","generic","np",TRUE,FALSE,FALSE,FALSE,8
"48",1,"wine","is made from red grapes","is made from green grapes","is made from red grapes and green grapes","generic","np",TRUE,FALSE,FALSE,FALSE,8
"49",1,"noodles","are made from wheat","are made from rice","are made from wheat and rice","most","np",TRUE,FALSE,FALSE,FALSE,8
"50",1,"socks","are made of wool","are made of cotton","are made of wool and cotton","most","np",TRUE,FALSE,FALSE,FALSE,8
"51",1,"shopping bags","are made of paper","are made of plastic","are made of paper and plastic","most","np",TRUE,FALSE,FALSE,FALSE,8
"52",1,"ships","carry passengers","carry cargo","carry passengers and cargo","generic","np",TRUE,FALSE,FALSE,FALSE,8
"53",1,"hurricanes","form in the Atlantic Ocean","form in the Pacific Ocean","form in the Atlantic Ocean and Pacific Ocean","most","np",TRUE,FALSE,FALSE,FALSE,8
"54",1,"cars","have gas engines","have electric engines","have gas engines and electric engines","generic","np",TRUE,FALSE,FALSE,FALSE,8
"55",1,"police officers","wear uniforms","wear plainclothes","wear uniforms and plainclothes","most","np",TRUE,FALSE,FALSE,FALSE,8
"56",1,"bridges","go over rivers","go over valleys","go over rivers and valleys","most","np",TRUE,FALSE,FALSE,FALSE,8
"57",1,"football players","play offense","play defense","play offense and defense","generic","np",TRUE,FALSE,FALSE,FALSE,8
"58",1,"fishermen","fish in oceans","fish in lakes","fish in oceans and lakes","most","np",TRUE,FALSE,FALSE,FALSE,8
"59",1,"goldfish","live in fish tanks","live in fish bowls","live in fish tanks and fish bowls","most","np",TRUE,FALSE,FALSE,FALSE,8
"60",1,"Iowa farmers","grow corn","grow soy","grow corn and soy","generic","np",TRUE,FALSE,FALSE,FALSE,8
"61",2,"ships","carry passengers","carry cargo","carry passengers and cargo","most","np",TRUE,FALSE,FALSE,FALSE,10
"62",2,"fishermen","fish in oceans","fish in lakes","fish in oceans and lakes","most","np",TRUE,FALSE,FALSE,FALSE,10
"63",2,"socks","are made of wool","are made of cotton","are made of wool and cotton","most","np",TRUE,FALSE,FALSE,FALSE,10
"64",2,"coffee","is grown in South America","is grown in Africa","is grown in South America and Africa","generic","np",TRUE,FALSE,FALSE,FALSE,10
"65",2,"hurricanes","form in the Atlantic Ocean","form in the Pacific Ocean","form in the Atlantic Ocean and Pacific Ocean","generic","np",FALSE,FALSE,FALSE,FALSE,10
"66",2,"Iowa farmers","grow corn","grow soy","grow corn and soy","generic","np",TRUE,FALSE,FALSE,FALSE,10
"67",2,"grapes","have purple skin","have green skin","have purple skin and green skin","generic","np",TRUE,FALSE,FALSE,FALSE,10
"68",2,"wine","is made from red grapes","is made from green grapes","is made from red grapes and green grapes","most","np",TRUE,FALSE,FALSE,FALSE,10
"69",2,"artists","create paintings","create sculptures","create paintings and sculptures","generic","np",TRUE,FALSE,FALSE,FALSE,10
"70",2,"football players","play offense","play defense","play offense and defense","generic","np",TRUE,FALSE,FALSE,FALSE,10
"71",2,"elephants","live in Africa","live in Asia","live in Africa and Asia","most","np",TRUE,FALSE,FALSE,FALSE,10
"72",2,"bridges","go over rivers","go over valleys","go over rivers and valleys","most","np",TRUE,FALSE,FALSE,FALSE,10
"73",2,"bears","live in forests","live in tundras","live in forests and tundras","generic","np",FALSE,FALSE,FALSE,FALSE,10
"74",2,"cars","have gas engines","have electric engines","have gas engines and electric engines","generic","np",TRUE,FALSE,FALSE,FALSE,10
"75",2,"flowers","bloom in the spring","bloom in the summer","bloom in the spring and summer","generic","np",TRUE,FALSE,FALSE,FALSE,10
"76",2,"runners","compete in sprints","compete in marathons","compete in sprints and marathons","generic","np",TRUE,FALSE,FALSE,FALSE,10
"77",2,"noodles","are made from wheat","are made from rice","are made from wheat and rice","generic","np",TRUE,FALSE,FALSE,FALSE,10
"78",2,"professional athletes","compete in team sports","compete in individual sports","compete in team sports and individual sports","most","np",TRUE,FALSE,FALSE,FALSE,10
"79",2,"pilots","fly planes","fly helicopters","fly planes and helicopters","most","np",TRUE,FALSE,FALSE,FALSE,10
"80",2,"goldfish","live in fish tanks","live in fish bowls","live in fish tanks and fish bowls","generic","np",TRUE,FALSE,FALSE,FALSE,10
"81",2,"gamblers","bet at casinos","bet at sporting events","bet at casinos and sporting events","generic","np",TRUE,FALSE,FALSE,FALSE,10
"82",2,"theaters","show movies","show plays","show movies and plays","most","np",TRUE,FALSE,FALSE,FALSE,10
"83",2,"breads","are cooked in dutch-ovens","are cooked in pans","are cooked in dutch-ovens and pans","most","np",TRUE,FALSE,FALSE,FALSE,10
"84",2,"shopping bags","are made of paper","are made of plastic","are made of paper and plastic","generic","np",TRUE,FALSE,FALSE,FALSE,10
"85",2,"monkeys","live in the western hemisphere","live in the eastern hemisphere","live in the western hemisphere and eastern hemisphere","generic","np",FALSE,FALSE,FALSE,FALSE,10
"86",2,"religious people","pray in churches","pray in synagogues","pray in churches and synagogues","most","np",TRUE,FALSE,FALSE,FALSE,10
"87",2,"police officers","wear uniforms","wear plainclothes","wear uniforms and plainclothes","most","np",TRUE,FALSE,FALSE,FALSE,10
"88",2,"birds","build nests in trees","build nests in cliffs","build nests in trees and cliffs","most","np",TRUE,FALSE,FALSE,FALSE,10
"89",2,"professional actors","star in movies","star in plays","star in movies and plays","most","np",TRUE,FALSE,FALSE,FALSE,10
"90",2,"museums","contain scientific artifacts","contain works of art","contain scientific artifacts and works of art","most","np",TRUE,FALSE,FALSE,FALSE,10
"91",3,"bridges","go over rivers","go over valleys","go over rivers and valleys","generic","np",TRUE,FALSE,FALSE,FALSE,10
"92",3,"artists","create paintings","create sculptures","create paintings and sculptures","generic","np",TRUE,FALSE,FALSE,FALSE,10
"93",3,"football players","play offense","play defense","play offense and defense","most","np",TRUE,FALSE,FALSE,FALSE,10
"94",3,"flowers","bloom in the spring","bloom in the summer","bloom in the spring and summer","generic","np",TRUE,FALSE,FALSE,FALSE,10
"95",3,"coffee","is grown in South America","is grown in Africa","is grown in South America and Africa","most","np",TRUE,FALSE,FALSE,FALSE,10
"96",3,"breads","are cooked in dutch-ovens","are cooked in pans","are cooked in dutch-ovens and pans","generic","np",TRUE,FALSE,FALSE,FALSE,10
"97",3,"gamblers","bet at casinos","bet at sporting events","bet at casinos and sporting events","generic","np",TRUE,FALSE,FALSE,FALSE,10
"98",3,"grapes","have purple skin","have green skin","have purple skin and green skin","generic","np",TRUE,FALSE,FALSE,FALSE,10
"99",3,"bears","live in forests","live in tundras","live in forests and tundras","generic","np",TRUE,FALSE,FALSE,FALSE,10
"100",3,"religious people","pray in churches","pray in synagogues","pray in churches and synagogues","most","np",TRUE,FALSE,FALSE,FALSE,10
"101",3,"elephants","live in Africa","live in Asia","live in Africa and Asia","generic","np",TRUE,FALSE,FALSE,FALSE,10
"102",3,"cars","have gas engines","have electric engines","have gas engines and electric engines","most","np",TRUE,FALSE,FALSE,FALSE,10
"103",3,"goldfish","live in fish tanks","live in fish bowls","live in fish tanks and fish bowls","most","np",TRUE,FALSE,FALSE,FALSE,10
"104",3,"professional athletes","compete in team sports","compete in individual sports","compete in team sports and individual sports","most","np",TRUE,FALSE,FALSE,FALSE,10
"105",3,"runners","compete in sprints","compete in marathons","compete in sprints and marathons","generic","np",TRUE,FALSE,FALSE,FALSE,10
"106",3,"police officers","wear uniforms","wear plainclothes","wear uniforms and plainclothes","generic","np",TRUE,FALSE,FALSE,FALSE,10
"107",3,"shopping bags","are made of paper","are made of plastic","are made of paper and plastic","most","np",TRUE,FALSE,FALSE,FALSE,10
"108",3,"pilots","fly planes","fly helicopters","fly planes and helicopters","generic","np",TRUE,FALSE,FALSE,FALSE,10
"109",3,"Iowa farmers","grow corn","grow soy","grow corn and soy","most","np",FALSE,FALSE,FALSE,FALSE,10
"110",3,"wine","is made from red grapes","is made from green grapes","is made from red grapes and green grapes","generic","np",TRUE,FALSE,FALSE,FALSE,10
"111",3,"fishermen","fish in oceans","fish in lakes","fish in oceans and lakes","most","np",TRUE,FALSE,FALSE,FALSE,10
"112",3,"professional actors","star in movies","star in plays","star in movies and plays","most","np",TRUE,FALSE,FALSE,FALSE,10
"113",3,"socks","are made of wool","are made of cotton","are made of wool and cotton","generic","np",TRUE,FALSE,FALSE,FALSE,10
"114",3,"theaters","show movies","show plays","show movies and plays","generic","np",TRUE,FALSE,FALSE,FALSE,10
"115",3,"noodles","are made from wheat","are made from rice","are made from wheat and rice","most","np",TRUE,FALSE,FALSE,FALSE,10
"116",3,"museums","contain scientific artifacts","contain works of art","contain scientific artifacts and works of art","most","np",TRUE,FALSE,FALSE,FALSE,10
"117",3,"birds","build nests in trees","build nests in cliffs","build nests in trees and cliffs","most","np",TRUE,FALSE,FALSE,FALSE,10
"118",3,"monkeys","live in the western hemisphere","live in the eastern hemisphere","live in the western hemisphere and eastern hemisphere","most","np",TRUE,FALSE,FALSE,FALSE,10
"119",3,"ships","carry passengers","carry cargo","carry passengers and cargo","generic","np",TRUE,FALSE,FALSE,FALSE,10
