"","trial_type","condition","page_content","query_predicate","response","rt","kind","predicate_1","predicate_2","chapter","quantifier","workerid","memory_fail","slider_fail","bad_expln","n_correct","bad_ratings"
"1","filler","uninterrupted","Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga",0,823067,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"2","filler","uninterrupted","Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint",0.98,16093,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"3","critical","vp","Glippets are large creatures with a life-span of about  sixty years. They live on the southern continent of Caro and live on the northern continent of Este.","live on the continent of Caro",0.97,18921,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"4","filler","uninterrupted","Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups",0.8,12461,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"5","critical","vp","Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with bumpy skin  and produce fruit with smooth skin.","produce fruit with bumpy skin",0.93,21274,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"6","filler","uninterrupted","Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute",0.77,12117,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"7","critical","vp","Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in fallen logs   and hibernate in the abandoned burrows of other animals.","hibernate in fallen logs",0.99,14137,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"8","filler","uninterrupted","Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans",1,8609,"supools","live in the oceans","live for a very long time","Supools","all","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"9","critical","pp","The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and to plant soroneeks.","flood their fields to plant fujusi",0.92,17133,"farmers in the springtime","flood their fields to plant fujusi","burn their fields to plant soroneeks","Agriculture","generic","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
"10","filler","uninterrupted","The morseth lives part of its life in the sea and part of its life on land. Most morseths build permanent structures called fendles in order to bury their dead  kin, and fendles are usually made out of wood.","build permanent structures called fendles",0.8,17480,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","94e02b964710f084b0757f009b32007f",FALSE,FALSE,FALSE,7,FALSE
