"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"""United States""","""0""","""Male""","""22""","""no""","""""","""Yes""","""2.50""","""1"""
1,"""English""","""0""","""Male""","""26""","""No.""","""""","""Yes""","""1.5""","""2"""
2,"""English""","""0""","""Male""","""38""","""no""","""""","""Yes""","""sure""","""3"""
3,"""English""","""1""","""Male""","""55""","""no""","""""","""Yes""","""1.50""","""2"""
4,"""English""","""0""","""Male""","""59""","""no""","""""","""Yes""","""1.50""","""2"""
5,"""English""","""0""","""Male""","""26""","""no""","""""","""Yes""","""2.50""","""1"""
6,"""english""","""0""","""Female""","""31""","""no""","""""","""Yes""","""yes""","""1"""
7,"""English""","""0""","""Male""","""31""","""Sometimes I saw information after the questions were asked but this may have been intentional.""","""Thank you for paying fairly.""","""Yes""","""$1.50""","""3"""
8,"""english""","""0""","""Female""","""29""","""no""","""none""","""No""","""2""","""1"""
9,"""English""","""1""","""Male""","""27""","""""","""""","""Yes""","""2.00""","""0"""
10,"""English""","""1""","""Male""","""27""","""No""","""""","""Yes""","""1.50""","""3"""
11,"""English""","""1""","""Male""","""30""","""no""","""nice surveys""","""Yes""","""1.50""","""3"""
12,"""English""","""1""","""Male""","""57""","""No problems.""","""n/a""","""Yes""","""2.00""","""2"""
13,"""English""","""1""","""Male""","""34""","""No""","""""","""No""","""1.5""","""3"""
14,"""English""","""0""","""Female""","""54""","""no""","""""","""Yes""","""2.50""","""3"""
15,"""English""","""1""","""Male""","""34""","""No problems. All was clear and worked as it should. ""","""Thanks for the opportunity. Have a wonderful rest of the day. ""","""Yes""","""Yes""","""1"""
16,"""United States""","""0""","""Male""","""29""","""""","""""","""Yes""","""2.00""","""3"""
17,"""english""","""1""","""Male""","""32""","""NO""","""""","""Yes""","""yes""","""1"""
18,"""english""","""-1""","""Male""","""35""","""no""","""""","""Yes""","""""","""3"""
19,"""English""","""0""","""Male""","""57""","""no""","""""","""Yes""","""2.00""","""3"""
20,"""English""","""0""","""Female""","""38""","""No issues ""","""n/a""","""Yes""","""1.5""","""2"""
21,"""English""","""1""","""Male""","""24""","""no""","""none""","""Yes""","""1.50""","""2"""
22,"""English""","""1""","""Male""","""45""","""no""","""none""","""Yes""","""1.50""","""3"""
23,"""English""","""1""","""Male""","""43""","""no""","""""","""Yes""","""yes""","""2"""
24,"""English""","""0""","""Female""","""27""","""no""","""""","""Yes""","""2.00""","""3"""
25,"""french""","""1""","""Female""","""32""","""""","""""","""Yes""","""1.50""","""3"""
26,"""nglishe""","""0""","""Female""","""39""","""none""","""""","""No""","""50""","""3"""
