"workerid","tested_on","response","check_index","property","correct","condition"
0,-1,0.85,1,"""dogs bark""","true","""practice"""
0,-1,0.48,2,"""birds are male""","true","""practice"""
0,-1,0.32,2,"""cats get cancer""","true","""practice"""
0,-1,0,2,"""lions lay eggs""","true","""practice"""
0,0,0,0,"""cranoor is the king of all beings""","1","""memory_check"""
0,1,0,1,"""all supools live in the oceans""","0","""memory_check"""
0,1,0,2,"""glippets live on the continent of Caro""","0","""memory_check"""
0,0,0,3,"""no kweps eat plants""","1","""memory_check"""
0,1,0,4,"""no plovs live in the continent of Aga""","0","""memory_check"""
0,1,1,5,"""kweps chew on xorfun bark""","1","""memory_check"""
0,0,0,6,"""taifles have gold spots that are sticky""","1","""memory_check"""
0,1,0,7,"""basket weavers are part of the Tinnoclan""","0","""memory_check"""
0,0,0,8,"""lorches have long legs and breathe underwater""","1","""memory_check"""
0,0,0,9,"""dorbs have infected, yellow scales ""","1","""memory_check"""
0,-1,-1,-1,"""i tried to learn some stupid bullshit you buttholes made up for no good reason at all.""","-1","""explanation"""
1,-1,0.3,1,"""dogs bark""","false","""practice"""
1,-1,0.52,2,"""birds are male""","true","""practice"""
1,-1,0.1,2,"""cats get cancer""","true","""practice"""
1,-1,0,2,"""lions lay eggs""","true","""practice"""
1,0,0,0,"""cranoor is the king of all beings""","1","""memory_check"""
1,0,0,1,"""taifles have gold spots that are sticky""","1","""memory_check"""
1,1,1,2,"""most lodeks only bloom for one day a year""","1","""memory_check"""
1,0,0,3,"""lorches have long legs and breathe underwater""","1","""memory_check"""
1,0,0,4,"""dorbs have infected, yellow scales ""","1","""memory_check"""
1,1,1,5,"""lorches have long wings""","1","""memory_check"""
1,1,1,6,"""mooks have territories at the tops of tall mountains""","1","""memory_check"""
1,1,1,7,"""vimble queens hibernate in fallen logs""","1","""memory_check"""
1,0,0,8,"""no kweps eat plants""","1","""memory_check"""
1,1,1,9,"""Krens are stup-herders""","1","""memory_check"""
1,-1,-1,-1,"""I read a story about an alien colony and answers questions as it went along.  The questions would ask what % of _____ do something.""","-1","""explanation"""
2,-1,0.93,1,"""dogs bark""","true","""practice"""
2,-1,0.5,2,"""birds are male""","true","""practice"""
2,-1,0.08,2,"""cats get cancer""","true","""practice"""
2,-1,0,2,"""lions lay eggs""","true","""practice"""
2,0,0,0,"""cranoor is the king of all beings""","1","""memory_check"""
2,0,0,1,"""no kweps eat plants""","1","""memory_check"""
2,0,0,2,"""lorches have long legs and breathe underwater""","1","""memory_check"""
2,0,0,3,"""dorbs have infected, yellow scales ""","1","""memory_check"""
2,1,1,4,"""lorches have long wings""","1","""memory_check"""
2,1,1,5,"""vimble queens hibernate in fallen logs""","1","""memory_check"""
2,1,0,6,"""no ice storms on Dax result in permanent damage to the plants and animals on Dax""","0","""memory_check"""
2,0,0,7,"""taifles have gold spots that are sticky""","1","""memory_check"""
2,1,1,8,"""basket weavers are part of the Tinnoclan""","1","""memory_check"""
2,1,1,9,"""ludinos ascribe to Cabooism""","1","""memory_check"""
2,-1,-1,-1,"""I read texts about an alien planet. Then I answered questions.""","-1","""explanation"""
3,-1,0.94,1,"""dogs bark""","true","""practice"""
3,-1,0.5,2,"""birds are male""","true","""practice"""
3,-1,0.04,2,"""cats get cancer""","true","""practice"""
3,-1,0,2,"""lions lay eggs""","true","""practice"""
3,1,0,0,"""most lodeks only bloom for one day a year""","0","""memory_check"""
3,0,0,1,"""cranoor is the king of all beings""","1","""memory_check"""
3,1,0,2,"""Krens are stup-herders""","0","""memory_check"""
3,0,0,3,"""no kweps eat plants""","1","""memory_check"""
3,0,0,4,"""dorbs have infected, yellow scales ""","1","""memory_check"""
3,1,0,5,"""fruit that isooms produce has bumpy skin""","0","""memory_check"""
3,0,0,6,"""taifles have gold spots that are sticky""","1","""memory_check"""
3,1,1,7,"""oller families carry their young in guklags""","1","""memory_check"""
3,1,0,8,"""lorches have long wings""","0","""memory_check"""
3,0,0,9,"""lorches have long legs and breathe underwater""","1","""memory_check"""
3,-1,-1,-1,"""tried to predict what percentage of which species exhibited which behaviors or attributes""","-1","""explanation"""
4,-1,0.78,1,"""dogs bark""","true","""practice"""
4,-1,0.5,2,"""birds are male""","true","""practice"""
4,-1,0.2,2,"""cats get cancer""","true","""practice"""
4,-1,0,2,"""lions lay eggs""","true","""practice"""
4,0,0,0,"""no kweps eat plants""","1","""memory_check"""
4,1,1,1,"""ludinos ascribe to Cabooism""","1","""memory_check"""
4,0,0,2,"""lorches have long legs and breathe underwater""","1","""memory_check"""
4,0,0,3,"""dorbs have infected, yellow scales ""","1","""memory_check"""
4,0,0,4,"""taifles have gold spots that are sticky""","1","""memory_check"""
4,1,1,5,"""basket weavers are part of the Tinnoclan""","1","""memory_check"""
4,0,0,6,"""cranoor is the king of all beings""","1","""memory_check"""
4,1,0,7,"""all aliens love Zorxon""","0","""memory_check"""
4,1,1,8,"""most mupors live in extended family groups""","1","""memory_check"""
4,1,0,9,"""lorches have long wings""","0","""memory_check"""
4,-1,-1,-1,"""I made judgement decisions based on a story. ""","-1","""explanation"""
5,-1,0.94,1,"""dogs bark""","true","""practice"""
5,-1,0.5,2,"""birds are male""","true","""practice"""
5,-1,0.14,2,"""cats get cancer""","true","""practice"""
5,-1,0,2,"""lions lay eggs""","true","""practice"""
5,1,1,0,"""mooks have territories at the tops of tall mountains""","1","""memory_check"""
5,1,1,1,"""oller families carry their young in guklags""","1","""memory_check"""
5,0,0,2,"""cranoor is the king of all beings""","1","""memory_check"""
5,0,0,3,"""taifles have gold spots that are sticky""","1","""memory_check"""
5,0,0,4,"""no kweps eat plants""","1","""memory_check"""
5,0,0,5,"""dorbs have infected, yellow scales ""","1","""memory_check"""
5,0,0,6,"""lorches have long legs and breathe underwater""","1","""memory_check"""
5,1,1,7,"""most mupors live in extended family groups""","1","""memory_check"""
5,1,1,8,"""all Astom aliens use the tunnels to get around town""","1","""memory_check"""
5,1,0,9,"""ludinos ascribe to Cabooism""","0","""memory_check"""
5,-1,-1,-1,"""Read a story about aliens and trying to remember facts about them that were told throughout.""","-1","""explanation"""
6,-1,0.75,1,"""dogs bark""","true","""practice"""
6,-1,0.5,2,"""birds are male""","true","""practice"""
6,-1,0.42,2,"""cats get cancer""","true","""practice"""
6,-1,0.41,2,"""lions lay eggs""","false","""practice"""
6,0,0,0,"""cranoor is the king of all beings""","1","""memory_check"""
6,1,1,1,"""all aliens remember Wint""","1","""memory_check"""
6,0,0,2,"""no kweps eat plants""","1","""memory_check"""
6,1,0,3,"""no animals eat kazzes""","0","""memory_check"""
6,1,1,4,"""all supools live in the oceans""","1","""memory_check"""
6,0,0,5,"""dorbs have infected, yellow scales ""","1","""memory_check"""
6,0,0,6,"""taifles have gold spots that are sticky""","1","""memory_check"""
6,1,0,7,"""kweps chew on xorfun bark""","0","""memory_check"""
6,0,1,8,"""lorches have long legs and breathe underwater""","0","""memory_check"""
6,1,0,9,"""fengnor mated pairs build nests in gluers""","0","""memory_check"""
6,-1,-1,-1,"""learning interesting facts about some creatures. ""","-1","""explanation"""
7,-1,0.94,1,"""dogs bark""","true","""practice"""
7,-1,0.49,2,"""birds are male""","true","""practice"""
7,-1,0.19,2,"""cats get cancer""","true","""practice"""
7,-1,0,2,"""lions lay eggs""","true","""practice"""
7,1,1,0,"""all wopis live in the desert""","1","""memory_check"""
7,0,0,1,"""taifles have gold spots that are sticky""","1","""memory_check"""
7,1,0,2,"""ludinos ascribe to Cabooism""","0","""memory_check"""
7,1,1,3,"""most mupors live in extended family groups""","1","""memory_check"""
7,0,0,4,"""cranoor is the king of all beings""","1","""memory_check"""
7,1,1,5,"""lorches have long wings""","1","""memory_check"""
7,0,0,6,"""lorches have long legs and breathe underwater""","1","""memory_check"""
7,1,1,7,"""basket weavers are part of the Tinnoclan""","1","""memory_check"""
7,0,0,8,"""no kweps eat plants""","1","""memory_check"""
7,0,0,9,"""dorbs have infected, yellow scales ""","1","""memory_check"""
7,-1,-1,-1,"""I read the story and was asked questions about facts within the story. ""","-1","""explanation"""
8,-1,0.9,1,"""dogs bark""","true","""practice"""
8,-1,0.5,2,"""birds are male""","true","""practice"""
8,-1,0.7,2,"""cats get cancer""","false","""practice"""
8,-1,0,2,"""lions lay eggs""","true","""practice"""
8,1,1,0,"""basket weavers are part of the Tinnoclan""","1","""memory_check"""
8,1,1,1,"""all blins have hollow bones""","1","""memory_check"""
8,0,0,2,"""dorbs have infected, yellow scales ""","1","""memory_check"""
8,1,1,3,"""no plovs live in the continent of Aga""","1","""memory_check"""
8,0,0,4,"""taifles have gold spots that are sticky""","1","""memory_check"""
8,0,0,5,"""lorches have long legs and breathe underwater""","1","""memory_check"""
8,0,0,6,"""no kweps eat plants""","1","""memory_check"""
8,1,1,7,"""farmers in the springtime plant fujusi""","1","""memory_check"""
8,0,0,8,"""cranoor is the king of all beings""","1","""memory_check"""
8,1,1,9,"""oller families carry their young in guklags""","1","""memory_check"""
8,-1,-1,-1,"""I read a story about strange creatures and then answered if I had remembered the above facts as coming from the story.""","-1","""explanation"""
9,-1,0.84,1,"""dogs bark""","true","""practice"""
9,-1,0.69,2,"""birds are male""","true","""practice"""
9,-1,0.6,2,"""cats get cancer""","false","""practice"""
9,-1,0.55,2,"""lions lay eggs""","false","""practice"""
9,0,1,0,"""no kweps eat plants""","0","""memory_check"""
9,1,0,1,"""farmers in the springtime plant fujusi""","0","""memory_check"""
9,1,0,2,"""fengnor mated pairs build nests in gluers""","0","""memory_check"""
9,0,1,3,"""lorches have long legs and breathe underwater""","0","""memory_check"""
9,1,0,4,"""all aliens love Zorxon""","0","""memory_check"""
9,1,0,5,"""all wopis live in the desert""","0","""memory_check"""
9,0,0,6,"""cranoor is the king of all beings""","1","""memory_check"""
9,0,1,7,"""taifles have gold spots that are sticky""","0","""memory_check"""
9,0,0,8,"""dorbs have infected, yellow scales ""","1","""memory_check"""
9,1,1,9,"""Krens are stup-herders""","1","""memory_check"""
9,-1,-1,-1,"""I read a story about a bunch of Alien creatures and tried my best to remember things i learned about them from the \""book\"".""","-1","""explanation"""
10,-1,0.87,1,"""dogs bark""","true","""practice"""
10,-1,0.5,2,"""birds are male""","true","""practice"""
10,-1,0.34,2,"""cats get cancer""","true","""practice"""
10,-1,0,2,"""lions lay eggs""","true","""practice"""
10,1,1,0,"""most mupors live in extended family groups""","1","""memory_check"""
10,0,1,1,"""no kweps eat plants""","0","""memory_check"""
10,1,0,2,"""ludinos ascribe to Cabooism""","0","""memory_check"""
10,1,1,3,"""mooks have territories at the tops of tall mountains""","1","""memory_check"""
10,1,1,4,"""glippets live on the continent of Caro""","1","""memory_check"""
10,0,0,5,"""taifles have gold spots that are sticky""","1","""memory_check"""
10,0,0,6,"""cranoor is the king of all beings""","1","""memory_check"""
10,0,0,7,"""lorches have long legs and breathe underwater""","1","""memory_check"""
10,1,1,8,"""farmers in the springtime plant fujusi""","1","""memory_check"""
10,0,0,9,"""dorbs have infected, yellow scales ""","1","""memory_check"""
10,-1,-1,-1,"""I answered questions about what I read. ""","-1","""explanation"""
11,-1,1,1,"""dogs bark""","true","""practice"""
11,-1,0.55,2,"""birds are male""","true","""practice"""
11,-1,0.3,2,"""cats get cancer""","true","""practice"""
11,-1,0,2,"""lions lay eggs""","true","""practice"""
11,1,1,0,"""no animals eat kazzes""","1","""memory_check"""
11,1,1,1,"""lorches have long wings""","1","""memory_check"""
11,0,0,2,"""lorches have long legs and breathe underwater""","1","""memory_check"""
11,1,1,3,"""most aliens find apaffs cute""","1","""memory_check"""
11,0,0,4,"""taifles have gold spots that are sticky""","1","""memory_check"""
11,1,1,5,"""all supools live in the oceans""","1","""memory_check"""
11,0,0,6,"""dorbs have infected, yellow scales ""","1","""memory_check"""
11,0,0,7,"""cranoor is the king of all beings""","1","""memory_check"""
11,0,0,8,"""no kweps eat plants""","1","""memory_check"""
11,1,1,9,"""fengnor mated pairs build nests in gluers""","1","""memory_check"""
11,-1,-1,-1,"""I read stories about different aliens and creatures on a alien planet that was similar to ours in ways and was then asked questions about the specific parts of each of the stories. ""","-1","""explanation"""
12,-1,0.89,1,"""dogs bark""","true","""practice"""
12,-1,0.5,2,"""birds are male""","true","""practice"""
12,-1,0.12,2,"""cats get cancer""","true","""practice"""
12,-1,0,2,"""lions lay eggs""","true","""practice"""
12,1,1,0,"""most morseths build permanent structures called fendles""","1","""memory_check"""
12,0,0,1,"""taifles have gold spots that are sticky""","1","""memory_check"""
12,0,0,2,"""cranoor is the king of all beings""","1","""memory_check"""
12,0,1,3,"""no kweps eat plants""","0","""memory_check"""
12,1,1,4,"""basket weavers are part of the Tinnoclan""","1","""memory_check"""
12,1,1,5,"""most mupors live in extended family groups""","1","""memory_check"""
12,0,1,6,"""lorches have long legs and breathe underwater""","0","""memory_check"""
12,1,1,7,"""fruit that isooms produce has bumpy skin""","1","""memory_check"""
12,0,0,8,"""dorbs have infected, yellow scales ""","1","""memory_check"""
12,1,1,9,"""mooks have territories at the tops of tall mountains""","1","""memory_check"""
12,-1,-1,-1,"""I answered probability questions after reading about the different animals of Dax""","-1","""explanation"""
13,-1,0,1,"""dogs bark""","false","""practice"""
13,-1,0.5,2,"""birds are male""","true","""practice"""
13,-1,0.1,2,"""cats get cancer""","true","""practice"""
13,-1,0,2,"""lions lay eggs""","true","""practice"""
13,1,1,0,"""Krens are stup-herders""","1","""memory_check"""
13,0,0,1,"""dorbs have infected, yellow scales ""","1","""memory_check"""
13,0,0,2,"""cranoor is the king of all beings""","1","""memory_check"""
13,1,0,3,"""all wopis live in the desert""","0","""memory_check"""
13,1,1,4,"""mooks have territories at the tops of tall mountains""","1","""memory_check"""
13,1,1,5,"""no ice storms on Dax result in permanent damage to the plants and animals on Dax""","1","""memory_check"""
13,0,1,6,"""no kweps eat plants""","0","""memory_check"""
13,0,0,7,"""lorches have long legs and breathe underwater""","1","""memory_check"""
13,1,1,8,"""reesles wear wutsats around their heads""","1","""memory_check"""
13,0,0,9,"""taifles have gold spots that are sticky""","1","""memory_check"""
13,-1,-1,-1,"""Determined how many of something prescribe to a certain behavior.""","-1","""explanation"""
14,-1,1,1,"""dogs bark""","true","""practice"""
14,-1,0.5,2,"""birds are male""","true","""practice"""
14,-1,0.17,2,"""cats get cancer""","true","""practice"""
14,-1,0,2,"""lions lay eggs""","true","""practice"""
14,0,0,0,"""dorbs have infected, yellow scales ""","1","""memory_check"""
14,0,0,1,"""taifles have gold spots that are sticky""","1","""memory_check"""
14,1,1,2,"""farmers in the springtime plant fujusi""","1","""memory_check"""
14,0,0,3,"""lorches have long legs and breathe underwater""","1","""memory_check"""
14,1,1,4,"""kweps chew on xorfun bark""","1","""memory_check"""
14,1,1,5,"""glippets live on the continent of Caro""","1","""memory_check"""
14,0,0,6,"""cranoor is the king of all beings""","1","""memory_check"""
14,0,0,7,"""no kweps eat plants""","1","""memory_check"""
14,1,1,8,"""oller families carry their young in guklags""","1","""memory_check"""
14,1,1,9,"""all blins have hollow bones""","1","""memory_check"""
14,-1,-1,-1,"""I read facts about alien animals and answered questions about them""","-1","""explanation"""
15,-1,0.99,1,"""dogs bark""","true","""practice"""
15,-1,0.5,2,"""birds are male""","true","""practice"""
15,-1,0.06,2,"""cats get cancer""","true","""practice"""
15,-1,0.02,2,"""lions lay eggs""","true","""practice"""
15,1,0,0,"""most aliens find apaffs cute""","0","""memory_check"""
15,0,0,1,"""no kweps eat plants""","1","""memory_check"""
15,1,0,2,"""kweps chew on xorfun bark""","0","""memory_check"""
15,1,1,3,"""lorches have long wings""","1","""memory_check"""
15,1,1,4,"""basket weavers are part of the Tinnoclan""","1","""memory_check"""
15,0,0,5,"""taifles have gold spots that are sticky""","1","""memory_check"""
15,0,0,6,"""lorches have long legs and breathe underwater""","1","""memory_check"""
15,1,1,7,"""fruit that isooms produce has bumpy skin""","1","""memory_check"""
15,0,0,8,"""dorbs have infected, yellow scales ""","1","""memory_check"""
15,0,0,9,"""cranoor is the king of all beings""","1","""memory_check"""
15,-1,-1,-1,"""I answered questions from a story of several chapters. It was based on aliens.""","-1","""explanation"""
16,-1,1,1,"""dogs bark""","true","""practice"""
16,-1,0.5,2,"""birds are male""","true","""practice"""
16,-1,0.37,2,"""cats get cancer""","true","""practice"""
16,-1,0.01,2,"""lions lay eggs""","true","""practice"""
16,0,1,0,"""taifles have gold spots that are sticky""","0","""memory_check"""
16,1,1,1,"""lorches have long wings""","1","""memory_check"""
