"","workerid","condition","rt","trial_type","predicate_1","val","memory_fail","slider_fail","chapter"
"1","e59126bbd20fecb9e8b9c1394003da1f","uninterrupted",31578,"critical","are stup-herders",0.39,FALSE,FALSE,"Finding food"
"2","e59126bbd20fecb9e8b9c1394003da1f","nme_interrupted",36668,"critical","have four horns",0.98,FALSE,FALSE,"Landeks"
"3","e59126bbd20fecb9e8b9c1394003da1f","uninterrupted",34360,"critical","chew on xorfun",0.14,FALSE,FALSE,"Kweps"
"4","e59126bbd20fecb9e8b9c1394003da1f","nme_uninterrupted",24583,"critical","have striped fur",0.95,FALSE,FALSE,"Kaples"
"5","e59126bbd20fecb9e8b9c1394003da1f","uninterrupted",35409,"critical","produce fruit with bumpy skin",0.55,FALSE,FALSE,"Isooms"
"6","e59126bbd20fecb9e8b9c1394003da1f","nme_interrupted",38361,"critical","flood their fields to plant fujusi",0.73,FALSE,FALSE,"Agriculture"
"7","e59126bbd20fecb9e8b9c1394003da1f","interrupted",19202,"critical","have territories at the tops of tall mountains",0.9,FALSE,FALSE,"Mooks"
"8","e59126bbd20fecb9e8b9c1394003da1f","interrupted",17735,"critical","have six wings",0.99,FALSE,FALSE,"Batozes"
"9","e59126bbd20fecb9e8b9c1394003da1f","nme_uninterrupted",16680,"critical","ascribe to the Caboo religion",0.93,FALSE,FALSE,"Ludinos"
"10","e59126bbd20fecb9e8b9c1394003da1f","interrupted",17585,"critical","live on the continent of Caro",0.98,FALSE,FALSE,"Glippets"
"11","e59126bbd20fecb9e8b9c1394003da1f","uninterrupted",30146,"critical","have long wings",0.46,FALSE,FALSE,"Lorches"
"12","e59126bbd20fecb9e8b9c1394003da1f","interrupted",25900,"critical","are part of the Tinno guild",0.6,FALSE,FALSE,"Crafts"
"13","ca04e9ed63dcb79ab53989aa12e81ef9","uninterrupted",11429,"critical","ascribe to the Caboo religion",0.5,FALSE,FALSE,"Ludinos"
"14","ca04e9ed63dcb79ab53989aa12e81ef9","uninterrupted",12050,"critical","are part of the Tinno guild",0.49,FALSE,FALSE,"Crafts"
"15","ca04e9ed63dcb79ab53989aa12e81ef9","interrupted",21663,"critical","have territories at the tops of tall mountains",1,FALSE,FALSE,"Mooks"
"16","ca04e9ed63dcb79ab53989aa12e81ef9","nme_uninterrupted",10605,"critical","carry their young in guklags",0.99,FALSE,FALSE,"Ollers"
"17","ca04e9ed63dcb79ab53989aa12e81ef9","interrupted",10970,"critical","have striped fur",0.99,FALSE,FALSE,"Kaples"
"18","ca04e9ed63dcb79ab53989aa12e81ef9","nme_uninterrupted",14305,"critical","chew on xorfun",0.48,FALSE,FALSE,"Kweps"
"19","ca04e9ed63dcb79ab53989aa12e81ef9","interrupted",21241,"critical","build nests in gluers",1,FALSE,FALSE,"Fengnors"
"20","ca04e9ed63dcb79ab53989aa12e81ef9","nme_interrupted",14595,"critical","are stup-herders",0.8,FALSE,FALSE,"Finding food"
"21","ca04e9ed63dcb79ab53989aa12e81ef9","interrupted",8913,"critical","produce fruit with bumpy skin",1,FALSE,FALSE,"Isooms"
"22","ca04e9ed63dcb79ab53989aa12e81ef9","nme_interrupted",10882,"critical","flood their fields to plant fujusi",1,FALSE,FALSE,"Agriculture"
"23","ca04e9ed63dcb79ab53989aa12e81ef9","uninterrupted",9453,"critical","have four horns",0.91,FALSE,FALSE,"Landeks"
"24","ca04e9ed63dcb79ab53989aa12e81ef9","uninterrupted",11570,"critical","have six wings",1,FALSE,FALSE,"Batozes"
"25","1cef02fd0b84c505b54f5fe4b15f00e6","uninterrupted",19024,"critical","have four horns",1,FALSE,FALSE,"Landeks"
"26","1cef02fd0b84c505b54f5fe4b15f00e6","nme_uninterrupted",17059,"critical","have long wings",0.78,FALSE,FALSE,"Lorches"
"27","1cef02fd0b84c505b54f5fe4b15f00e6","uninterrupted",28604,"critical","build nests in gluers",0.75,FALSE,FALSE,"Fengnors"
"28","1cef02fd0b84c505b54f5fe4b15f00e6","nme_interrupted",13908,"critical","produce fruit with bumpy skin",1,FALSE,FALSE,"Isooms"
"29","1cef02fd0b84c505b54f5fe4b15f00e6","interrupted",21490,"critical","have striped fur",0.95,FALSE,FALSE,"Kaples"
"30","1cef02fd0b84c505b54f5fe4b15f00e6","nme_uninterrupted",27575,"critical","have territories at the tops of tall mountains",0.9,FALSE,FALSE,"Mooks"
"31","1cef02fd0b84c505b54f5fe4b15f00e6","uninterrupted",25632,"critical","wear wutsats around their heads",0.65,FALSE,FALSE,"Reesles"
"32","1cef02fd0b84c505b54f5fe4b15f00e6","uninterrupted",12043,"critical","ascribe to the Caboo religion",0.6,FALSE,FALSE,"Ludinos"
"33","1cef02fd0b84c505b54f5fe4b15f00e6","interrupted",23572,"critical","are stup-herders",0.4,FALSE,FALSE,"Finding food"
"34","1cef02fd0b84c505b54f5fe4b15f00e6","nme_interrupted",16315,"critical","hibernate in fallen logs",0.95,FALSE,FALSE,"Vimbles"
"35","1cef02fd0b84c505b54f5fe4b15f00e6","interrupted",18151,"critical","are part of the Tinno guild",0.85,FALSE,FALSE,"Crafts"
"36","1cef02fd0b84c505b54f5fe4b15f00e6","interrupted",14219,"critical","have six wings",1,FALSE,FALSE,"Batozes"
"37","6ee05949db82f1b2a7d8703345b9c46c","nme_uninterrupted",23054,"critical","have territories at the tops of tall mountains",0.93,FALSE,FALSE,"Mooks"
"38","6ee05949db82f1b2a7d8703345b9c46c","interrupted",13869,"critical","live on the continent of Caro",0.94,FALSE,FALSE,"Glippets"
"39","6ee05949db82f1b2a7d8703345b9c46c","interrupted",26336,"critical","carry their young in guklags",0.78,FALSE,FALSE,"Ollers"
"40","6ee05949db82f1b2a7d8703345b9c46c","nme_interrupted",12979,"critical","have striped fur",0.46,FALSE,FALSE,"Kaples"
"41","6ee05949db82f1b2a7d8703345b9c46c","uninterrupted",22748,"critical","hibernate in fallen logs",0.42,FALSE,FALSE,"Vimbles"
"42","6ee05949db82f1b2a7d8703345b9c46c","uninterrupted",11568,"critical","have four horns",0.8,FALSE,FALSE,"Landeks"
"43","6ee05949db82f1b2a7d8703345b9c46c","interrupted",23594,"critical","chew on xorfun",0.39,FALSE,FALSE,"Kweps"
"44","6ee05949db82f1b2a7d8703345b9c46c","nme_interrupted",17912,"critical","wear wutsats around their heads",0.31,FALSE,FALSE,"Reesles"
"45","6ee05949db82f1b2a7d8703345b9c46c","interrupted",24629,"critical","flood their fields to plant fujusi",0.62,FALSE,FALSE,"Agriculture"
"46","6ee05949db82f1b2a7d8703345b9c46c","nme_uninterrupted",27847,"critical","are part of the Tinno guild",0.21,FALSE,FALSE,"Crafts"
